meaning_index,sink_index,productive_frac,beautiful_one_frac,aggressor_frac,withdrawn_frac,collapsed_frac,birth_intention,social_trust,post_labor_current,band_occupancy,sink_collapsed,scenario,post_labor,run_id
0.48584891023462673,0.335,0.335,0.33,0.0,0.23,0.105,0.38090959162235327,0.49192901236795467,0.5,0.71,0,baseline,0.5,107
0.5082242642158635,0.255,0.345,0.4,0.0,0.21,0.045,0.40483043936002017,0.5114366534540972,0.5,0.75,0,baseline,0.5,108
0.4931442373757817,0.265,0.35,0.385,0.0,0.19,0.075,0.38514210223424095,0.47870848358193513,0.5,0.77,0,baseline,0.5,109
0.49462175210473514,0.295,0.335,0.37,0.0,0.21,0.085,0.3820301706064527,0.47022770560908356,0.5,0.715,0,baseline,0.5,110
0.4783041187104503,0.36,0.305,0.335,0.0,0.28,0.08,0.3720942507751674,0.4658527844114319,0.5,0.66,0,baseline,0.5,111
0.49323058283538884,0.31,0.355,0.335,0.0,0.2,0.11,0.385953368739333,0.4799161650600305,0.5,0.705,0,baseline,0.5,112
0.49039647692073884,0.265,0.29,0.445,0.005,0.21,0.05,0.38948739636246416,0.48984096370828284,0.5,0.79,0,baseline,0.5,113
0.49991109787579097,0.25,0.315,0.435,0.0,0.19,0.06,0.39197971758900907,0.4887305383795506,0.5,0.765,0,baseline,0.5,114
0.4994778056895791,0.28,0.365,0.355,0.0,0.22,0.06,0.3951580610059052,0.5090512949425335,0.5,0.79,0,baseline,0.5,115
0.49575936767467577,0.305,0.32,0.375,0.005,0.225,0.075,0.3944534746016425,0.49848598931155846,0.5,0.7,0,baseline,0.5,116
0.48523557202191514,0.31,0.29,0.4,0.01,0.24,0.06,0.37777096597310317,0.48217343340815255,0.5,0.725,0,baseline,0.5,117
0.5041352946824186,0.265,0.39,0.345,0.0,0.2,0.065,0.3922864411854907,0.49951328311962656,0.5,0.74,0,baseline,0.5,118
0.4930979545350108,0.275,0.335,0.39,0.0,0.19,0.085,0.3855456043725647,0.47398393646220965,0.5,0.745,0,baseline,0.5,119
0.4987453699910271,0.275,0.385,0.34,0.01,0.205,0.06,0.38174435561363235,0.4807075111432676,0.5,0.75,0,baseline,0.5,120
0.4947042172596325,0.29,0.365,0.345,0.0,0.2,0.09,0.39133449766586714,0.49616754112224115,0.5,0.735,0,baseline,0.5,121
0.4885213961122413,0.295,0.28,0.425,0.0,0.225,0.07,0.38403076981503076,0.4961367627083329,0.5,0.755,0,baseline,0.5,122
0.4956460230723269,0.32,0.355,0.325,0.0,0.24,0.08,0.3919179649407083,0.49388768369441144,0.5,0.695,0,baseline,0.5,123
0.4992986837215206,0.285,0.385,0.33,0.0,0.23,0.055,0.3885414136940096,0.4920920063582014,0.5,0.73,0,baseline,0.5,124
