meaning_index,sink_index,productive_frac,beautiful_one_frac,aggressor_frac,withdrawn_frac,collapsed_frac,birth_intention,social_trust,post_labor_current,band_occupancy,sink_collapsed,variant,post_labor,run_id
0.3387970237905739,0.785,0.04,0.175,0.025,0.41,0.35,0.2043344795780326,0.44462135372899675,0.95,0.44,1,ubi_pure,0.95,87
0.3482100890611223,0.745,0.04,0.215,0.04,0.425,0.28,0.20733035785836343,0.4248758414993983,0.95,0.515,1,ubi_pure,0.95,88
0.3425913095697157,0.78,0.04,0.18,0.03,0.395,0.355,0.21163401960029965,0.4639123396437727,0.95,0.44,1,ubi_pure,0.95,89
0.34606466623833704,0.745,0.045,0.21,0.025,0.415,0.305,0.21593256858139762,0.4511105636339475,0.95,0.49,1,ubi_pure,0.95,90
0.3653203962632528,0.685,0.055,0.26,0.01,0.41,0.265,0.24025625014618654,0.49396290911131724,0.95,0.545,0,ubi_pure,0.95,91
0.3468970437421627,0.72,0.03,0.25,0.025,0.375,0.32,0.21264356225281197,0.4506811257975386,0.95,0.47,1,ubi_pure,0.95,92
0.3472012203145606,0.76,0.03,0.21,0.015,0.4,0.345,0.2196184385784716,0.4530200489257444,0.95,0.47,1,ubi_pure,0.95,93
0.35566250824886836,0.745,0.055,0.2,0.015,0.415,0.315,0.2228063610583647,0.4611658086026391,0.95,0.49,1,ubi_pure,0.95,94
0.347691904856677,0.705,0.045,0.25,0.03,0.33,0.345,0.21645532828465897,0.45934078246973425,0.95,0.475,1,ubi_pure,0.95,95
0.35115083870558794,0.725,0.02,0.255,0.02,0.405,0.3,0.21322922426571858,0.4516180308573349,0.95,0.51,1,ubi_pure,0.95,96
0.3356589075947942,0.785,0.015,0.2,0.01,0.38,0.395,0.20232405548870103,0.4442457997932419,0.95,0.4,1,ubi_pure,0.95,97
0.3419674734406676,0.765,0.045,0.19,0.04,0.415,0.31,0.20481842748294127,0.4377900820978597,0.95,0.43,1,ubi_pure,0.95,98
0.3415381954156069,0.755,0.045,0.2,0.025,0.355,0.375,0.21203627515202916,0.4567414799570756,0.95,0.445,1,ubi_pure,0.95,99
0.3488520634201302,0.73,0.045,0.225,0.02,0.36,0.35,0.21677994697478856,0.46940963678418796,0.95,0.46,1,ubi_pure,0.95,100
0.3358210685794545,0.8,0.03,0.17,0.03,0.395,0.375,0.2018809254735909,0.4412198394299424,0.95,0.4,1,ubi_pure,0.95,101
0.3499972590153304,0.745,0.055,0.2,0.03,0.405,0.31,0.21310239042430063,0.4522469036278081,0.95,0.485,1,ubi_pure,0.95,102
0.33816390654066425,0.735,0.04,0.225,0.025,0.32,0.39,0.1977996578109441,0.42913344072766035,0.95,0.44,1,ubi_pure,0.95,103
0.34444446286054814,0.715,0.05,0.235,0.015,0.295,0.405,0.20315965159281446,0.44713467376673854,0.95,0.45,1,ubi_pure,0.95,104
0.35219148669445843,0.7,0.03,0.27,0.01,0.4,0.29,0.21275996758168803,0.44317533679640364,0.95,0.525,0,ubi_pure,0.95,105
