meaning_index,sink_index,productive_frac,beautiful_one_frac,aggressor_frac,withdrawn_frac,collapsed_frac,birth_intention,social_trust,post_labor_current,sink_collapsed,ratio,economic_weight,virtual_weight,scenario,post_labor,run_id
0.4272316928770604,0.495,0.135,0.37,0.0,0.37,0.125,0.3093821062139327,0.49284516026423825,0.95,0,3:1,0.675,0.225,ubi_only,0.95,36
0.40612879909978106,0.575,0.09,0.335,0.005,0.42,0.15,0.2967854104389361,0.4866205973253065,0.95,0,3:1,0.675,0.225,ubi_only,0.95,37
0.4201202160863751,0.52,0.125,0.355,0.025,0.38,0.115,0.2905913339188968,0.47029969761845686,0.95,0,3:1,0.675,0.225,ubi_only,0.95,38
0.4178781267320777,0.51,0.1,0.39,0.01,0.36,0.14,0.30267295025970126,0.47157223998702835,0.95,0,3:1,0.675,0.225,ubi_only,0.95,39
0.4272967729649254,0.5,0.16,0.34,0.0,0.365,0.135,0.3093447850164093,0.4838943987911702,0.95,0,3:1,0.675,0.225,ubi_only,0.95,40
0.39554693753759224,0.565,0.085,0.35,0.005,0.34,0.22,0.26827809523412055,0.4428895382119134,0.95,0,3:1,0.675,0.225,ubi_only,0.95,41
0.4213562005312944,0.505,0.135,0.36,0.005,0.35,0.15,0.3071041947208492,0.47870017311313945,0.95,0,3:1,0.675,0.225,ubi_only,0.95,42
0.4120577351681506,0.525,0.1,0.375,0.005,0.355,0.165,0.2952661488483792,0.4741889438869093,0.95,0,3:1,0.675,0.225,ubi_only,0.95,43
0.4217071562897181,0.53,0.125,0.345,0.005,0.405,0.12,0.3040847759668579,0.48078392879321613,0.95,0,3:1,0.675,0.225,ubi_only,0.95,44
0.42102360804216715,0.475,0.15,0.375,0.005,0.295,0.175,0.2984534060493842,0.4789832925921527,0.95,0,3:1,0.675,0.225,ubi_only,0.95,45
0.404826769841912,0.545,0.095,0.36,0.005,0.325,0.215,0.286228590619811,0.4554133352937605,0.95,0,3:1,0.675,0.225,ubi_only,0.95,46
0.39042256285574317,0.635,0.065,0.3,0.01,0.465,0.16,0.2613965699652011,0.4338679979973088,0.95,0,3:1,0.675,0.225,ubi_only,0.95,47
0.39376070760465987,0.595,0.09,0.315,0.025,0.37,0.2,0.27081964203680764,0.4441527337918252,0.95,0,3:1,0.675,0.225,ubi_only,0.95,48
0.4074428106882991,0.54,0.095,0.365,0.015,0.365,0.16,0.2880815075162798,0.47688168971267186,0.95,0,3:1,0.675,0.225,ubi_only,0.95,49
0.43519089671041455,0.465,0.185,0.35,0.0,0.345,0.12,0.2666008267544038,0.48593376764708024,0.95,0,3:1,0.675,0.225,virtual_only,0.95,0
