meaning_index,sink_index,productive_frac,beautiful_one_frac,aggressor_frac,withdrawn_frac,collapsed_frac,birth_intention,social_trust,post_labor_current,band_occupancy,sink_collapsed,scenario,post_labor,speed,run_id
0.517324157816783,0.255,0.425,0.32,0.0,0.195,0.06,0.411836642407422,0.49812476424082236,0.4999999999999992,0.69,0,baseline,0.5,gradual,72
0.507002239620933,0.26,0.355,0.385,0.0,0.2,0.06,0.4097760095877826,0.5191609554375769,0.4999999999999992,0.75,0,baseline,0.5,gradual,73
0.5078108900417271,0.25,0.42,0.33,0.005,0.195,0.05,0.3985925866597187,0.4980205834732142,0.4999999999999992,0.75,0,baseline,0.5,gradual,74
0.5030910538801078,0.285,0.355,0.36,0.0,0.245,0.04,0.39821165315480095,0.5040416041015366,0.4999999999999992,0.745,0,baseline,0.5,gradual,75
0.49748982835658667,0.295,0.36,0.345,0.0,0.24,0.055,0.38313785339746237,0.47925223153792795,0.4999999999999992,0.75,0,baseline,0.5,gradual,76
0.4958383779388005,0.295,0.335,0.37,0.0,0.23,0.065,0.38931650230940973,0.4806421115214555,0.4999999999999992,0.69,0,baseline,0.5,gradual,77
0.5095213215371766,0.255,0.415,0.33,0.005,0.17,0.08,0.40104348902211767,0.4821073105235388,0.4999999999999992,0.72,0,baseline,0.5,gradual,78
0.49433502287882036,0.31,0.335,0.355,0.0,0.23,0.08,0.38690924312718367,0.47289488263802615,0.4999999999999992,0.705,0,baseline,0.5,gradual,79
0.5018880335235442,0.295,0.33,0.375,0.0,0.25,0.045,0.3916518176877763,0.47831804374414644,0.4999999999999992,0.69,0,baseline,0.5,gradual,80
0.49969165595678144,0.3,0.38,0.32,0.0,0.245,0.055,0.38563210401051984,0.4615373983414263,0.4999999999999992,0.745,0,baseline,0.5,gradual,81
0.508971636271362,0.275,0.38,0.345,0.005,0.21,0.06,0.3995775276874188,0.48538960875944126,0.4999999999999992,0.72,0,baseline,0.5,gradual,82
0.5228716621884151,0.21,0.405,0.385,0.0,0.18,0.03,0.42440287297730195,0.5299431031585192,0.4999999999999992,0.78,0,baseline,0.5,gradual,83
0.500446855328372,0.25,0.36,0.39,0.0,0.19,0.06,0.39649779565366766,0.4844786287661877,0.4999999999999992,0.75,0,baseline,0.5,gradual,84
0.4960747909525777,0.295,0.325,0.38,0.005,0.225,0.065,0.3883871380946453,0.47436450798548646,0.4999999999999992,0.725,0,baseline,0.5,gradual,85
0.5224049532354829,0.23,0.41,0.36,0.0,0.185,0.045,0.4226619575854434,0.5198747265102018,0.4999999999999992,0.73,0,baseline,0.5,gradual,86
0.5170553414386856,0.255,0.395,0.35,0.0,0.215,0.04,0.4147228056412425,0.5186484814222755,0.4999999999999992,0.76,0,baseline,0.5,gradual,87
0.5092033488214343,0.255,0.38,0.365,0.0,0.2,0.055,0.40169921460739333,0.4956663882549446,0.4999999999999992,0.735,0,baseline,0.5,gradual,88
0.5201890181955419,0.23,0.46,0.31,0.005,0.185,0.04,0.4193204409887514,0.50546163178265,0.4999999999999992,0.715,0,baseline,0.5,gradual,89
0.5148133195310052,0.255,0.4,0.345,0.0,0.215,0.04,0.41344958991067104,0.5102549818934832,0.4999999999999992,0.73,0,baseline,0.5,gradual,90
0.5027956606008605,0.305,0.395,0.3,0.0,0.255,0.05,0.3926783559165077,0.49060647104422,0.4999999999999992,0.735,0,baseline,0.5,gradual,91
0.5137035268539724,0.265,0.385,0.35,0.005,0.22,0.04,0.4025729428483693,0.4959884410726131,0.4999999999999992,0.745,0,baseline,0.5,gradual,92
0.5028844052888869,0.235,0.36,0.405,0.0,0.16,0.075,0.3931531762660012,0.48969498262827554,0.4999999999999992,0.745,0,baseline,0.5,gradual,93
0.5088939896252656,0.255,0.345,0.4,0.0,0.205,0.05,0.41028875815877236,0.5115009417516336,0.4999999999999992,0.715,0,baseline,0.5,gradual,94
0.49614287755883046,0.27,0.34,0.39,0.005,0.19,0.075,0.384847821884713,0.47703433364526143,0.4999999999999992,0.705,0,baseline,0.5,gradual,95
0.5155548923934848,0.25,0.42,0.33,0.0,0.19,0.06,0.40706383030214965,0.5027896575096369,0.4999999999999992,0.715,0,baseline,0.5,gradual,96
