horizon,scenario,post_labor,run_id,sink_index,meaning_index
240,ubi_only,0.5,6,0.165,0.5426912673298381
80,ubi_only,0.5,7,0.145,0.5501604343603751
120,ubi_only,0.5,7,0.17,0.5418436856994494
160,ubi_only,0.5,7,0.175,0.5430280184310929
240,ubi_only,0.5,7,0.175,0.5534181856688126
80,ubi_only,0.5,8,0.165,0.5399430243085085
120,ubi_only,0.5,8,0.15,0.5419336228324948
160,ubi_only,0.5,8,0.14,0.5428679914759003
240,ubi_only,0.5,8,0.155,0.54252028648367
80,ubi_only,0.5,9,0.16,0.5554633364202399
120,ubi_only,0.5,9,0.21,0.5333385382459547
160,ubi_only,0.5,9,0.14,0.5557101328112701
240,ubi_only,0.5,9,0.18,0.5309578179841395
80,ubi_only,0.5,10,0.15,0.5366402147285443
120,ubi_only,0.5,10,0.19,0.5407380201794874
160,ubi_only,0.5,10,0.13,0.554548120773493
240,ubi_only,0.5,10,0.11,0.5485122509720424
80,ubi_only,0.5,11,0.175,0.5442301031993834
120,ubi_only,0.5,11,0.155,0.54730054379092
160,ubi_only,0.5,11,0.125,0.5624944757901887
240,ubi_only,0.5,11,0.175,0.537791253672034
80,ubi_only,0.5,12,0.215,0.533947541636702
120,ubi_only,0.5,12,0.215,0.5298598696419756
160,ubi_only,0.5,12,0.17,0.5300142858083297
240,ubi_only,0.5,12,0.13,0.5621778585597074
80,ubi_only,0.5,13,0.165,0.5618293751149277
120,ubi_only,0.5,13,0.14,0.5521711503204463
160,ubi_only,0.5,13,0.19,0.5412439454725692
240,ubi_only,0.5,13,0.175,0.5303334218317529
80,ubi_only,0.5,14,0.145,0.5438486840275318
120,ubi_only,0.5,14,0.2,0.540612261274557
160,ubi_only,0.5,14,0.22,0.5407852262890509
240,ubi_only,0.5,14,0.155,0.544863676617729
80,ubi_only,0.5,15,0.155,0.5467620357094886
120,ubi_only,0.5,15,0.155,0.5363643448899583
160,ubi_only,0.5,15,0.215,0.5281894933708223
240,ubi_only,0.5,15,0.145,0.5521474882720342
80,ubi_only,0.5,16,0.165,0.5462441233353766
120,ubi_only,0.5,16,0.13,0.5518032181263753
160,ubi_only,0.5,16,0.18,0.538902527789189
240,ubi_only,0.5,16,0.13,0.5458497305884528
80,ubi_only,0.5,17,0.165,0.5377161723173426
120,ubi_only,0.5,17,0.17,0.5549272996335846
160,ubi_only,0.5,17,0.185,0.5275158395423257
240,ubi_only,0.5,17,0.155,0.5450651751060711
80,ubi_only,0.5,18,0.165,0.5471525859701082
120,ubi_only,0.5,18,0.17,0.5395392951676748
160,ubi_only,0.5,18,0.13,0.5414259572416564
240,ubi_only,0.5,18,0.225,0.5264687340087001
80,ubi_only,0.5,19,0.145,0.5482745482165388
120,ubi_only,0.5,19,0.155,0.556064642260555
160,ubi_only,0.5,19,0.175,0.5429869576546479
240,ubi_only,0.5,19,0.105,0.5622476141075634
80,ubi_only,0.5,20,0.185,0.5417018842503062
120,ubi_only,0.5,20,0.19,0.5391496047866413
160,ubi_only,0.5,20,0.145,0.5438769299427797
240,ubi_only,0.5,20,0.155,0.5431942157047317
80,ubi_only,0.5,21,0.145,0.5456666838699268
120,ubi_only,0.5,21,0.16,0.5502659200176017
160,ubi_only,0.5,21,0.155,0.5401855029467383
240,ubi_only,0.5,21,0.19,0.5315999027935593
80,ubi_only,0.5,22,0.155,0.5457424742643366
120,ubi_only,0.5,22,0.17,0.5447283697712797
160,ubi_only,0.5,22,0.155,0.5431202985573362
240,ubi_only,0.5,22,0.155,0.549646161257898
80,ubi_only,0.5,23,0.135,0.5545278126260713
120,ubi_only,0.5,23,0.17,0.5462938591091532
160,ubi_only,0.5,23,0.195,0.5362719684411326
240,ubi_only,0.5,23,0.18,0.5415645779310954
80,ubi_only,0.5,24,0.155,0.5482323031397748
120,ubi_only,0.5,24,0.165,0.5466212437346861
160,ubi_only,0.5,24,0.145,0.5453968485340476
240,ubi_only,0.5,24,0.135,0.5493170196683317
80,ubi_only,0.5,25,0.15,0.5449598993954878
120,ubi_only,0.5,25,0.175,0.5544578153609098
160,ubi_only,0.5,25,0.125,0.5495333677314381
240,ubi_only,0.5,25,0.215,0.5307620641834718
80,ubi_only,0.5,26,0.155,0.5416315839766306
120,ubi_only,0.5,26,0.2,0.542261650307885
160,ubi_only,0.5,26,0.125,0.5573353428036288
240,ubi_only,0.5,26,0.16,0.5494488004346363
80,ubi_only,0.5,27,0.155,0.5533731123391064
120,ubi_only,0.5,27,0.195,0.5387559566827547
160,ubi_only,0.5,27,0.185,0.5399438364025996
240,ubi_only,0.5,27,0.165,0.544714448525499
80,ubi_only,0.5,28,0.15,0.550903195127512
120,ubi_only,0.5,28,0.155,0.538442054265206
160,ubi_only,0.5,28,0.13,0.5582942762222187
240,ubi_only,0.5,28,0.17,0.5363015729432832
80,ubi_only,0.5,29,0.13,0.548790824392321
120,ubi_only,0.5,29,0.15,0.5592878020131193
160,ubi_only,0.5,29,0.155,0.5460732553715212
240,ubi_only,0.5,29,0.115,0.5468023135158225
80,ubi_only,0.5,30,0.16,0.5362955403431033
120,ubi_only,0.5,30,0.17,0.5462394375601163
160,ubi_only,0.5,30,0.195,0.5358932361844405
240,ubi_only,0.5,30,0.185,0.5418732756954243
80,ubi_only,0.5,31,0.15,0.5285057774041989
120,ubi_only,0.5,31,0.155,0.5445372540203725
160,ubi_only,0.5,31,0.17,0.533134974676032
240,ubi_only,0.5,31,0.175,0.5390858706805549
80,ubi_only,0.5,32,0.135,0.5567039631911387
120,ubi_only,0.5,32,0.195,0.5385291658208383
160,ubi_only,0.5,32,0.16,0.5353205820128933
240,ubi_only,0.5,32,0.185,0.5360102806640044
80,ubi_only,0.5,33,0.16,0.5470191113174387
120,ubi_only,0.5,33,0.155,0.5456271634194776
160,ubi_only,0.5,33,0.145,0.5538886261594055
240,ubi_only,0.5,33,0.125,0.5589908736566939
80,ubi_only,0.5,34,0.16,0.5436431061411597
120,ubi_only,0.5,34,0.16,0.5556852462500207
160,ubi_only,0.5,34,0.175,0.5369187000229217
240,ubi_only,0.5,34,0.165,0.5522035193580112
80,ubi_only,0.5,35,0.13,0.5567249896775506
120,ubi_only,0.5,35,0.19,0.5355885994280372
160,ubi_only,0.5,35,0.15,0.5464559821454822
240,ubi_only,0.5,35,0.18,0.5346246099709441
80,ubi_only,0.5,36,0.14,0.5521891835693586
120,ubi_only,0.5,36,0.18,0.5400918182064397
160,ubi_only,0.5,36,0.16,0.532026529644825
240,ubi_only,0.5,36,0.17,0.541866658023918
80,ubi_only,0.5,37,0.19,0.543310127233326
120,ubi_only,0.5,37,0.135,0.5438169614067268
160,ubi_only,0.5,37,0.14,0.5389053555869608
240,ubi_only,0.5,37,0.145,0.5516433302924767
80,ubi_only,0.5,38,0.18,0.5360407925256458
120,ubi_only,0.5,38,0.145,0.5377499532949562
160,ubi_only,0.5,38,0.18,0.5343353619494603
240,ubi_only,0.5,38,0.19,0.5318407199029633
80,ubi_only,0.5,39,0.16,0.5523753353877741
120,ubi_only,0.5,39,0.15,0.5404514823724341
160,ubi_only,0.5,39,0.135,0.543947199803733
240,ubi_only,0.5,39,0.16,0.5316181370171584
80,ubi_only,0.5,40,0.14,0.5549851513729077
120,ubi_only,0.5,40,0.2,0.5307115210562867
160,ubi_only,0.5,40,0.14,0.5513016171730825
240,ubi_only,0.5,40,0.16,0.5417165890430989
80,ubi_only,0.5,41,0.18,0.5483777910661183
120,ubi_only,0.5,41,0.155,0.54535403505797
160,ubi_only,0.5,41,0.18,0.5415504727820718
240,ubi_only,0.5,41,0.185,0.5384190587230728
80,ubi_only,0.5,42,0.19,0.5287530126455554
120,ubi_only,0.5,42,0.16,0.5328529167411221
160,ubi_only,0.5,42,0.18,0.5366079759051405
240,ubi_only,0.5,42,0.175,0.5455347687297465
80,ubi_only,0.5,43,0.13,0.5499872272432785
120,ubi_only,0.5,43,0.175,0.5482744960803858
160,ubi_only,0.5,43,0.18,0.5449311866500437
240,ubi_only,0.5,43,0.165,0.5438626303968384
80,ubi_only,0.5,44,0.15,0.5541261751551843
120,ubi_only,0.5,44,0.215,0.5434146302640097
160,ubi_only,0.5,44,0.15,0.5528102329442998
240,ubi_only,0.5,44,0.14,0.544257052235741
80,ubi_only,0.5,45,0.15,0.54913147046564
120,ubi_only,0.5,45,0.205,0.5362289779357087
160,ubi_only,0.5,45,0.16,0.5444288078095948
240,ubi_only,0.5,45,0.17,0.5398938738708244
80,ubi_only,0.5,46,0.195,0.5393733721192854
120,ubi_only,0.5,46,0.15,0.5439826116442077
160,ubi_only,0.5,46,0.13,0.553237883077236
240,ubi_only,0.5,46,0.14,0.5470593502823179
80,ubi_only,0.5,47,0.145,0.5476459783498128
120,ubi_only,0.5,47,0.115,0.5567566956704253
160,ubi_only,0.5,47,0.135,0.5573185944321483
240,ubi_only,0.5,47,0.165,0.5407715123577083
80,ubi_only,0.5,48,0.135,0.5560621639638516
