UserId,Reputation,log_rep,PreAnsCount,log_pre_ans,tenure_years,AnsCount,z_comp,z_stat,z_rel,dominant_type,type_margin,active_months,post_engage,exit_K3,dur_K3,exit_K6,dur_K6,exit_K9,dur_K9,outcome3
804955,136,4.919980925828125,11,2.4849066497880004,11.45242984257358,11,1.5353454958402641,-1.165949690995302,-0.3096899191312795,competence,1.8450354149715436,0.0,0,1,0.0,1,0.0,1,0.0,exit
807830,494,6.20455776256869,5,1.791759469228055,11.444216290212184,5,-0.9693567697016763,1.3349597193080114,-0.2894766799709232,status,1.6244363992789346,0.0,0,1,0.0,1,0.0,1,0.0,exit
811059,73,4.30406509320417,7,2.0794415416798357,11.441478439425051,7,0.535569057985865,0.024958361097032953,-0.25549067203632364,competence,0.510610696888832,0.0,0,1,0.0,1,0.0,1,0.0,exit
817324,406,6.008813185442595,6,1.9459101490553132,11.427789185489392,6,-1.1044171247102823,-0.4712554113659485,0.1234509200192132,relatedness,0.5947063313851617,4.336399474375821,4,1,4.336399474375821,1,4.336399474375821,0,11.990801576872535,migration
818667,414,6.028278520230698,8,2.1972245773362196,11.425051334702259,8,0.24616211499808333,0.3971186904442689,-0.08816424072163921,status,0.15095657544618557,0.0,0,1,0.0,1,0.0,1,0.0,exit
821962,152,5.030437921392435,9,2.302585092994046,11.422313483915127,9,-1.3295109635085993,-0.7028187818482827,-0.28241808851810035,relatedness,0.4204006933301824,0.0,3,1,0.0,1,0.0,1,0.0,migration
824897,314,5.752572638825633,26,3.295836866004329,11.416837782340862,26,-0.6888555284091283,0.27687913417923604,-0.1758605060091401,status,0.45273964018837615,0.0,0,1,0.0,1,0.0,1,0.0,exit
831520,311,5.7430031878094825,5,1.791759469228055,11.403148528405202,5,-1.7797026928348494,1.3349597193080114,-0.2894766799709232,status,1.6244363992789346,9.724047306176084,10,0,11.990801576872535,0,11.990801576872535,0,11.990801576872535,active
841108,1,0.6931471805599453,20,3.044522437723423,11.38672142368241,20,0.24616211499808333,-0.12390410336892137,0.9912098000334704,relatedness,0.7450476850353871,6.011826544021025,71,1,6.011826544021025,0,11.990801576872535,0,11.990801576872535,active
848520,269,5.598421958998375,8,2.1972245773362196,11.373032169746748,8,0.7526283169563165,-0.12390410336892137,0.10359863155814897,competence,0.6490296853981675,0.0,3,1,0.0,1,0.0,1,0.0,migration
853837,489,6.194405391104672,6,1.9459101490553132,11.364818617385353,6,-0.4291275048560995,-0.4712554113659485,-0.14124625946164346,relatedness,0.28788124539445603,0.0,0,1,0.0,1,0.0,1,0.0,exit
854405,251,5.529429087511423,6,1.9459101490553132,11.364818617385353,6,0.9214476831226504,-0.4712554113659485,-0.14124625946164346,competence,1.0626939425842938,0.0,0,1,0.0,1,0.0,1,0.0,exit
