speed,scenario,step,steps_after_target,run_id,sink_index,meaning_index,post_labor_current
rapid,ubi_only,15,10,20,0.645,0.3877728981573938,0.95
rapid,ubi_only,25,20,20,0.675,0.36891398219951294,0.95
rapid,ubi_only,45,40,20,0.73,0.35694352935718315,0.95
rapid,ubi_only,15,10,21,0.6,0.3921767012916355,0.95
rapid,ubi_only,25,20,21,0.7,0.3619136261598274,0.95
rapid,ubi_only,45,40,21,0.675,0.3672182671411969,0.95
rapid,ubi_only,15,10,22,0.59,0.39799449744179,0.95
rapid,ubi_only,25,20,22,0.705,0.3668791782188562,0.95
rapid,ubi_only,45,40,22,0.68,0.364158285522316,0.95
rapid,ubi_only,15,10,23,0.62,0.3906455270393576,0.95
rapid,ubi_only,25,20,23,0.72,0.35689270855507865,0.95
rapid,ubi_only,45,40,23,0.73,0.34002845513031643,0.95
rapid,ubi_only,15,10,24,0.63,0.3925703678634717,0.95
rapid,ubi_only,25,20,24,0.67,0.3610108321662562,0.95
rapid,ubi_only,45,40,24,0.715,0.34935340327244846,0.95
rapid,ubi_only,15,10,25,0.575,0.39804565506225587,0.95
rapid,ubi_only,25,20,25,0.73,0.3508332789209361,0.95
rapid,ubi_only,45,40,25,0.72,0.351207463532636,0.95
rapid,ubi_only,15,10,26,0.58,0.39451843185733554,0.95
rapid,ubi_only,25,20,26,0.665,0.3696904202335011,0.95
rapid,ubi_only,45,40,26,0.755,0.35677015992521016,0.95
rapid,ubi_only,15,10,27,0.6,0.395181309254785,0.95
rapid,ubi_only,25,20,27,0.64,0.3748656681977224,0.95
rapid,ubi_only,45,40,27,0.74,0.3460017748888577,0.95
rapid,ubi_only,15,10,28,0.635,0.3893866892286557,0.95
rapid,ubi_only,25,20,28,0.725,0.3503530994946182,0.95
rapid,ubi_only,45,40,28,0.715,0.3505052690454255,0.95
rapid,ubi_only,15,10,29,0.615,0.3906806533283625,0.95
rapid,ubi_only,25,20,29,0.675,0.3824131165329911,0.95
rapid,ubi_only,45,40,29,0.76,0.34860452511933443,0.95
rapid,ubi_only,15,10,30,0.605,0.3923012446982787,0.95
rapid,ubi_only,25,20,30,0.72,0.35655875689908045,0.95
rapid,ubi_only,45,40,30,0.715,0.36418590858683403,0.95
rapid,ubi_only,15,10,31,0.57,0.40973182153354576,0.95
rapid,ubi_only,25,20,31,0.6,0.3902467171336741,0.95
rapid,ubi_only,45,40,31,0.73,0.35434837074269043,0.95
rapid,ubi_only,15,10,32,0.455,0.4241334593528699,0.95
rapid,ubi_only,25,20,32,0.615,0.3857874908220779,0.95
rapid,ubi_only,45,40,32,0.67,0.365578299131173,0.95
rapid,ubi_only,15,10,33,0.61,0.39582971893673985,0.95
rapid,ubi_only,25,20,33,0.68,0.3631886583821505,0.95
rapid,ubi_only,45,40,33,0.735,0.348837470522263,0.95
rapid,ubi_only,15,10,34,0.585,0.39978174974358,0.95
rapid,ubi_only,25,20,34,0.74,0.35952915067292635,0.95
rapid,ubi_only,45,40,34,0.745,0.34293447348777095,0.95
rapid,ubi_only,15,10,35,0.595,0.38872988757513893,0.95
rapid,ubi_only,25,20,35,0.73,0.36253903476572236,0.95
rapid,ubi_only,45,40,35,0.705,0.3607924968703396,0.95
rapid,ubi_only,15,10,36,0.54,0.4036272252654494,0.95
rapid,ubi_only,25,20,36,0.665,0.36860792271530685,0.95
rapid,ubi_only,45,40,36,0.73,0.35694860274654405,0.95
rapid,ubi_only,15,10,37,0.615,0.3886505136485257,0.95
rapid,ubi_only,25,20,37,0.735,0.35613423330276645,0.95
rapid,ubi_only,45,40,37,0.75,0.34209837426089734,0.95
rapid,ubi_only,15,10,38,0.545,0.3988130986895227,0.95
rapid,ubi_only,25,20,38,0.725,0.3596360680707903,0.95
rapid,ubi_only,45,40,38,0.7,0.3651256684897136,0.95
rapid,ubi_only,15,10,39,0.605,0.3977799471743924,0.95
rapid,ubi_only,25,20,39,0.655,0.36255939847648355,0.95
rapid,ubi_only,45,40,39,0.73,0.342897332936727,0.95
rapid,ubi_only,15,10,40,0.595,0.39466986886730915,0.95
rapid,ubi_only,25,20,40,0.685,0.37288398307454396,0.95
rapid,ubi_only,45,40,40,0.68,0.35861135410894646,0.95
rapid,ubi_only,15,10,41,0.51,0.41594493221821904,0.95
rapid,ubi_only,25,20,41,0.65,0.3715060369780101,0.95
rapid,ubi_only,45,40,41,0.75,0.3448322954957345,0.95
rapid,ubi_only,15,10,42,0.61,0.3928440281420413,0.95
rapid,ubi_only,25,20,42,0.675,0.37475838448546006,0.95
rapid,ubi_only,45,40,42,0.725,0.3566580769373917,0.95
rapid,ubi_only,15,10,43,0.6,0.38830572384676626,0.95
rapid,ubi_only,25,20,43,0.7,0.3651522139840814,0.95
rapid,ubi_only,45,40,43,0.68,0.34934560607216086,0.95
rapid,ubi_only,15,10,44,0.605,0.3842563385996668,0.95
rapid,ubi_only,25,20,44,0.71,0.3525633868372113,0.95
rapid,ubi_only,45,40,44,0.745,0.34622771809633746,0.95
rapid,ubi_only,15,10,45,0.58,0.3986893148960414,0.95
rapid,ubi_only,25,20,45,0.675,0.3745238253446447,0.95
rapid,ubi_only,45,40,45,0.765,0.35129264320071185,0.95
rapid,ubi_only,15,10,46,0.61,0.38590619410851773,0.95
rapid,ubi_only,25,20,46,0.69,0.35944671555974905,0.95
rapid,ubi_only,45,40,46,0.79,0.3436503433879594,0.95
rapid,ubi_only,15,10,47,0.59,0.39931352515340274,0.95
rapid,ubi_only,25,20,47,0.695,0.3706299503885127,0.95
rapid,ubi_only,45,40,47,0.74,0.34525815483049377,0.95
rapid,ubi_only,15,10,48,0.63,0.3995007555299112,0.95
rapid,ubi_only,25,20,48,0.67,0.3665158567448237,0.95
rapid,ubi_only,45,40,48,0.7,0.3540091015153773,0.95
rapid,ubi_only,15,10,49,0.58,0.4016818259218542,0.95
rapid,ubi_only,25,20,49,0.65,0.375748413797551,0.95
rapid,ubi_only,45,40,49,0.77,0.3375975436465844,0.95
rapid,full_bundle,15,10,0,0.24,0.4966200808330822,0.95
rapid,full_bundle,25,20,0,0.28,0.4890379597403928,0.95
rapid,full_bundle,45,40,0,0.32,0.4744690785682611,0.95
